"ID"	,"REG_NO"	,"CORP_NAME"
"1739"	,"320104000019147"	,南京双乐印务有限公司
"1231"	,"91320104MA1M9NEW1J"	,南京光芒彩色印务有限公司
"1130"	,"320106000041812"	,南京快印数码艺术印刷有限公司
"1229"	,"91320115135231412Y"	,南京顺天彩色印刷有限公司
"1237"	,"91320115768181160X"	,南京世敏印务有限公司
"1741"	,"320113000026261"	,南京天盟印刷有限公司
"1240"	,"91320114733174040G"	,南京正飞塑料制品有限公司
"1241"	,"320104000013417"	,南京白鹭设计制版有限公司
"1245"	,"320100000096122"	,南京雅格彩色印刷有限责任公司
"1247"	,"320100000027809"	,南京金陵金箔集团股份有限公司
"1745"	,"320125000017270"	,南京奥星印务有限公司
"1254"	,"320114000023312"	,南京银洲印务有限公司
"1251"	,"91320116780691841C"	,南京宏景印务有限公司
"1575"	,"91320102249914473U"	,南京宁同印务有限责任公司
"1578"	,"913201021350096358"	,南京康利达印刷有限公司
"1584"	,"91320114773970236D"	,南京金敦冠印务有限公司
"1587"	,"9132010413517995XB"	,南京意中沁印刷厂
"1227"	,"320105000016071"	,南京顶点印务有限公司
"1631"	,"913201068352968668"	,南京市下关区中山天宝印刷厂
"1633"	,"91320100730569266B"	,南京鸿兴达通信实业（集团）有限公司鸿邮印刷厂
"1635"	,"91320114MA1MFACF7K"	,南京梅山工程技术新产业开发有限公司印刷厂
"1638"	,"320125600017683"	,高淳县淳溪艺林彩色印刷厂
"1639"	,"320125000201808290083"	,高淳县东坝新华印刷厂
"1642"	,"320123000202007290012"	,南京雄南印刷厂
"1643"	,"92320116MA1QMNP2A"	,南京市六合区华联印刷厂
"1648"	,"320115249800089C"	,南京顺天纸业有限公司
"1649"	,"320121000042515"	,南京正联彩色印刷有限公司
"1650"	,"320121000087697"	,南京文奇印务部
"1661"	,"913201151355967209"	,江宁区新济印刷厂
"1259"	,"91320115135611693G"	,南京麒麟彩印有限公司
"1662"	,"320121600033355"	,南京江宁卫生印刷厂
"1663"	,"92320115MA1QEM1210"	,江宁区周岗高阳印刷厂
"1664"	,"92320115MA1QPXN3XE"	,南京市江宁区琴凤印刷经营部
"1667"	,"9132011571628589XB"	,南京京南彩印制袋有限公司
"1120"	,"91320102134898995C"	,南京金陵石化印刷有限责任公司
"1173"	,"320125000015653"	,南京环鑫包装材料有限公司
"1176"	,"913201157770340070"	,南京欣泉包装有限公司
"1179"	,"320121000030901"	,南京永强包装材料有限责任公司
"1182"	,"913201157541446417"	,南京永华包装有限公司
"1675"	,"92320115MA1NNY2A2T"	,江宁区东善桥友联印刷包装厂
"1673"	,"92320115MA1Q3UYQX8"	,南京江宁区金宇印务中心
